scenario,phase,action,n,mean_improvement_att,std_improvement_att,min_improvement_att,max_improvement_att,p95_improvement_att,mean_improvement_CEF,std_improvement_CEF,min_improvement_CEF,max_improvement_CEF,p95_improvement_CEF,mean_improvement_CEF2,std_improvement_CEF2,min_improvement_CEF2,max_improvement_CEF2,p95_improvement_CEF2,mean_improvement_exposure,std_improvement_exposure,min_improvement_exposure,max_improvement_exposure,p95_improvement_exposure,mean_improvement_dun,std_improvement_dun,min_improvement_dun,max_improvement_dun,p95_improvement_dun,mean_improvement_cost,std_improvement_cost,min_improvement_cost,max_improvement_cost,p95_improvement_cost,mean_improvement_energy,std_improvement_energy,min_improvement_energy,max_improvement_energy,p95_improvement_energy,mean_reward,std_reward,min_reward,max_reward,p95_reward
S1_service,calibration,greedy:redundancy_restoration,6,-0.19926621709286407,0.19364616883938082,-0.6092705112798927,-0.04206200560189271,-0.04206200560189271,0.6978693359863731,0.7665274581411284,0.20248326660335658,2.4019068101516776,2.4019068101516776,0.623402261449216,0.6582954771773611,0.1763195416328782,2.0867394919155466,2.0867394919155466,-0.051515812214261304,0.14169697923101748,-0.30174680959173045,0.1859614283920823,0.1859614283920823,0.8759946238209507,0.12742443927463507,0.698030742732322,1.0,1.0,-0.23563393833035387,0.1543134296147815,-0.5185490794625477,-0.10434199350011893,-0.10434199350011893,,,,,,0.689083220688358,0.26930275230355183,0.3980887412128845,1.2520862210781916,1.2520862210781916
S1_service,calibration,greedy:continuity_repair+redundant_overlay_line,31,-0.05588603606691845,0.09573315628385871,-0.4006935975258713,0.025324110845790757,0.013781654841553229,0.257030764868525,0.2529562528870594,0.037372384713160414,1.3846376829096168,0.5649582885379123,0.20530651061969724,0.24993893857125588,0.01289604518293255,1.3327337316180643,0.5131523873939867,-0.014381941271267358,0.12078516605651873,-0.29183693084225754,0.3420392592814011,0.17788416281437536,0.9310840266208117,0.16688951141085687,0.30434696233574454,1.0,1.0,-0.11346730647991776,0.06122848837593455,-0.2793932158511847,-0.05585959126484079,-0.05603849355868184,,,,,,0.398407093996991,0.2547753611541863,0.07657414661128165,1.1889200738124484,0.8125587556171195
S1_service,calibration,greedy:continuity_repair,11,-0.16512453561933485,0.09644888320997692,-0.392198237338702,0.007584845032233453,0.007584845032233453,0.43720460282504114,0.13629117604759308,0.1325997915553637,0.6948875090741986,0.6948875090741986,0.45444414845964826,0.1727560989351241,0.06746636050427535,0.798814850569418,0.798814850569418,-0.21699110670961066,0.2459792484741208,-0.7884807681856009,0.037462266854071766,0.037462266854071766,0.9849738398272909,0.047516890632269784,0.8347122381002,1.0,1.0,-0.18196524172536777,0.07470642797687664,-0.32235666170118116,-0.08939682800147981,-0.08939682800147981,,,,,,0.6417633198783347,0.14899095528888412,0.25167737928469724,0.7981366994143186,0.7981366994143186
S1_service,calibration,greedy:corridor_relief,36,0.026868545643286373,0.005869022544273893,0.023181724779832928,0.03942112555395921,0.037162825712035004,0.04337388371257841,0.016439459456727167,0.015383753271994621,0.056826974780778784,0.056826974780778784,0.006445104971191709,0.00541721031321545,-0.0003422923666273498,0.02213429857046596,0.02213429857046596,-0.01294763995572542,0.01188955747301073,-0.03606400739907016,-0.0057317174391031175,-0.0057317174391031175,0.0,0.0,0.0,0.0,0.0,-0.047477546134248635,0.0025628885627781966,-0.05086351037444355,-0.03962705326949153,-0.03991514371418259,,,,,,0.0762263589504077,0.02180635097702145,0.03884263363455803,0.09539249573079334,0.09539249573079334
S1_service,calibration,greedy:full_structural_recovery,2,0.04328336581609171,0.02407924967518099,0.01920411614091072,0.0673626154912727,0.0673626154912727,0.11218877114895667,0.006779368442058752,0.10540940270689793,0.11896813959101543,0.11896813959101543,0.03162949939207791,0.0035082788335036655,0.028121220558574245,0.035137778225581576,0.035137778225581576,0.061131784674896675,0.049720050020215276,0.011411734654681397,0.11085183469511195,0.11085183469511195,0.02036811980315323,0.0201043633824688,0.00026375642068443154,0.04047248318562203,0.04047248318562203,-0.19833772556020432,0.024891350893227332,-0.22322907645343165,-0.173446374666977,-0.173446374666977,,,,,,0.14495895401801187,0.048031988078412864,0.096926965939599,0.19299094209642473,0.19299094209642473
S1_service,calibration,do_nothing,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0
S1_service,calibration,greedy:budget_neutral_reconfiguration+redundant_overlay_line,7,-0.08389109772364109,0.12913873378042134,-0.35411123909663433,0.03156583383948282,0.03156583383948282,0.27769807527322,0.18825892068734798,0.038387233694944456,0.6288703829281381,0.6288703829281381,0.2195518837251422,0.18754868985359321,-0.0006084523386968058,0.5586346263170516,0.5586346263170516,0.02024479405339364,0.08326859518826356,-0.12734127658779718,0.14031389897440902,0.14031389897440902,0.29381556548657745,0.22944362754391584,0.0,0.6121324050433591,0.6121324050433591,-0.24861580274400574,0.10275067749999629,-0.41292377525502044,-0.14258906851660832,-0.14258906851660832,,,,,,0.3257676833795048,0.1658127634830965,0.05509309572067865,0.6290019147428489,0.6290019147428489
S1_service,calibration,greedy:corridor_relief+emergency_bus_bridge+extend_route_to_orphaned_stops,2,-0.028121839665881058,0.04294386125288194,-0.07106570091876299,0.014822021587000876,0.014822021587000876,0.19475565774230974,0.10313670712310911,0.09161895061920064,0.29789236486541887,0.29789236486541887,0.14777077577360329,0.11422742727302285,0.03354334850058043,0.26199820304662613,0.26199820304662613,-0.11384532078138346,0.030572547428670778,-0.14441786821005423,-0.08327277335271267,-0.08327277335271267,0.3300520493875219,0.2387559639188462,0.09129608546867571,0.5688080133063681,0.5688080133063681,-0.16793571766819934,0.067468853405909,-0.23540457107410834,-0.10046686426229033,-0.10046686426229033,,,,,,0.2441528822103583,0.12664892382827786,0.11750395838208046,0.37080180603863616,0.37080180603863616
S1_service,calibration,greedy:redundancy_restoration+redundant_overlay_line,3,0.006158390252402901,0.009998544313444437,-0.007981686719658607,0.013228428738433655,0.013228428738433655,0.16258214392992865,0.012156126664685829,0.15398646433236668,0.17977350312505255,0.17977350312505255,0.08778734222231223,0.00732888479182284,0.08260503808747935,0.09815195049197802,0.09815195049197802,-0.006922238320382222,0.058031390167500065,-0.0889910173386255,0.03411215118873941,0.03411215118873941,0.7886709874170368,0.29886435571774106,0.36601296225111035,1.0,1.0,-0.13758491310537413,0.005690069419790418,-0.14563188644968617,-0.13356142643321814,-0.13356142643321814,,,,,,0.3188442771134286,0.005963731241453822,0.31462728231142256,0.32727826671744076,0.32727826671744076
S1_service,calibration,greedy:corridor_relief+extend_route_to_orphaned_stops,1,0.020057404787342734,0.0,0.020057404787342734,0.020057404787342734,0.020057404787342734,0.02346950803813452,0.0,0.02346950803813452,0.02346950803813452,0.02346950803813452,0.005299835568814173,0.0,0.005299835568814173,0.005299835568814173,0.005299835568814173,-0.01118493400808203,0.0,-0.01118493400808203,-0.01118493400808203,-0.01118493400808203,0.05791545146785808,0.0,0.05791545146785808,0.05791545146785808,0.05791545146785808,-0.056234134929444436,0.0,-0.056234134929444436,-0.056234134929444436,-0.056234134929444436,,,,,,0.03758958752733357,0.0,0.03758958752733357,0.03758958752733357,0.03758958752733357
