scenario,phase,type,n,mean_improvement_att,std_improvement_att,min_improvement_att,max_improvement_att,p95_improvement_att,mean_improvement_CEF,std_improvement_CEF,min_improvement_CEF,max_improvement_CEF,p95_improvement_CEF,mean_improvement_CEF2,std_improvement_CEF2,min_improvement_CEF2,max_improvement_CEF2,p95_improvement_CEF2,mean_improvement_exposure,std_improvement_exposure,min_improvement_exposure,max_improvement_exposure,p95_improvement_exposure,mean_improvement_dun,std_improvement_dun,min_improvement_dun,max_improvement_dun,p95_improvement_dun,mean_improvement_cost,std_improvement_cost,min_improvement_cost,max_improvement_cost,p95_improvement_cost,mean_improvement_energy,std_improvement_energy,min_improvement_energy,max_improvement_energy,p95_improvement_energy,mean_reward,std_reward,min_reward,max_reward,p95_reward
S1_service,calibration,area_closure,14,-0.10989671576282374,0.10175945545612305,-0.35411123909663433,0.01920411614091072,0.01920411614091072,0.38576428684822545,0.19441706248006144,0.0,0.7424459764411879,0.7424459764411879,0.34617513966266233,0.21032890489988978,0.0,0.6750512611365153,0.6750512611365153,-0.07124615349391247,0.25446005349286827,-0.7884807681856009,0.1859614283920823,0.1859614283920823,0.6474931655788898,0.35148383596291255,0.0,1.0,1.0,-0.23342510983457787,0.11069771208305143,-0.41292377525502044,0.0,0.0,,,,,,0.5149415974465567,0.26132709043435975,0.0,0.9360648901652615,0.9360648901652615
S1_service,calibration,combined_disruption,24,-0.08731600075343865,0.16417183271124558,-0.6092705112798927,0.037162825712035004,0.03661531020936218,0.3809682465377593,0.5179780007596371,0.015383753271994621,2.4019068101516776,1.3846376829096168,0.3314831286151086,0.4797929808856881,-0.0006084523386968058,2.0867394919155466,1.3327337316180643,-0.06498854118822357,0.13204557870261538,-0.535950655134679,0.14031389897440902,0.07127351517390265,0.5753848178648849,0.40932153450898484,0.0,1.0,1.0,-0.1615236535543839,0.10831348373208002,-0.5185490794625477,-0.046959331404094716,-0.04735792761838591,,,,,,0.4377744203991103,0.3576866397282112,0.03884263363455803,1.2520862210781916,1.1889200738124484
S1_service,calibration,demand_surge,19,0.027596659099694904,0.006471420907597494,0.023181724779832928,0.03942112555395921,0.03942112555395921,0.04294659410937885,0.01832211544351837,0.015383753271994621,0.056826974780778784,0.056826974780778784,0.004958684705901145,0.0032426970018203266,-0.0003422923666273498,0.007240449522443835,0.007240449522443835,-0.0149027948619318,0.012671269163470972,-0.03606400739907016,-0.006109053361886246,-0.006109053361886246,,,,,,-0.04810812395386563,0.001104259106292076,-0.049733549347405065,-0.04735792761838591,-0.04735792761838591,,,,,,0.0756299763095418,0.0244189596482614,0.038842633634558414,0.09539249573079334,0.09539249573079334
S1_service,calibration,link_failure,37,-0.015704962044432953,0.061954087426116314,-0.2160102787342875,0.024346791560570142,0.02428160820313367,0.12810225742622716,0.11379647821192544,0.02346950803813452,0.4411845637067618,0.42521185703179565,0.08911539275371931,0.11540752940608635,0.004874675480702789,0.4133966585562745,0.3841657406010717,-0.004809188463668521,0.08782075542318471,-0.24603192386834558,0.3420392592814011,0.09093676045013438,0.8569743658951219,0.3259908607375177,0.0,1.0,1.0,-0.06936973574214984,0.0267614266730019,-0.1427732257015147,-0.03962705326949153,-0.03991514371418259,,,,,,0.22558278425717787,0.17865671504458616,0.03758958752733357,0.6197854786040529,0.6097071266655267
S1_service,calibration,node_removal,11,-0.0585439516967251,0.09843476368428505,-0.2310292990573881,0.0673626154912727,0.0673626154912727,0.21474205810169023,0.14866522434992652,0.0,0.44548169441505797,0.44548169441505797,0.1850606995065199,0.1627412343080873,0.0,0.43783296690393547,0.43783296690393547,-0.0474070380975858,0.09021015214414997,-0.30174680959173045,0.03411215118873941,0.03411215118873941,0.655030607022434,0.43212484975120347,0.0,1.0,1.0,-0.12554923576084806,0.06745861670340145,-0.22322907645343165,0.0,0.0,,,,,,0.36507913904622863,0.22866740229879626,0.0,0.7010051174819907,0.7010051174819907
S1_service,held_out,link_failure,21,-0.004641225593184874,0.05198524857858096,-0.22191979328810466,0.023628569276616267,0.023390730593687563,0.10751405222883458,0.08209899978221209,0.050503179403177646,0.3858176273995703,0.2051080964207872,0.06535854545630729,0.08866665743790939,0.004864372705811497,0.3715895695811989,0.21537241312510905,-0.00924280705255232,0.06595171014206504,-0.19725628631130931,0.09852040912963368,0.08862438943476582,0.6256627616107087,0.4213475571014718,0.0,1.0,1.0,-0.06900351189359996,0.025849372124932875,-0.1342371417489942,-0.04735792761838591,-0.04735792761838591,,,,,,0.19123826185523068,0.141325102102693,0.07940155550271975,0.5640463435611041,0.4532379421309624
S1_service,held_out,node_removal,6,-0.09498783604739913,0.0940469050597588,-0.2488947680864242,0.0016639445186782237,0.0016639445186782237,0.24028386280265648,0.06982013589169235,0.12387738617251479,0.3461971054619153,0.3461971054619153,0.20426393592393724,0.1037229378830399,0.04004031372022713,0.3607200293873816,0.3607200293873816,-0.03211646736667473,0.12859597375689696,-0.3001955435464167,0.09646879295356568,0.09646879295356568,0.9516565312413191,0.10809928241254788,0.7099391874479146,1.0,1.0,-0.11417630380572019,0.020715822718257098,-0.15430971890533526,-0.08603182048769391,-0.08603182048769391,,,,,,0.4085715744068616,0.11992001649196433,0.1988482032068959,0.5520687598447032,0.5520687598447032
S1_service,held_out,demand_surge,6,0.027686832491031464,0.006313393869265597,0.02321130435932055,0.03661531020936218,0.03661531020936218,0.041931618195364034,0.018775746826457794,0.015383753271994621,0.055654052992336896,0.055654052992336896,0.0048656677868846926,0.0032310006354037963,0.0002964329219773513,0.007175129151313823,0.007175129151313823,-0.015173007763981422,0.012620595702607049,-0.033020491030535865,-0.006109053361886246,-0.006109053361886246,,,,,,-0.04814980152805897,0.0011198788227490355,-0.049733549347405065,-0.04735792761838591,-0.04735792761838591,,,,,,0.07413971159339584,0.02497179897009682,0.038842633634558414,0.09277482615542729,0.09277482615542729
S1_service,held_out,combined_disruption,8,-0.04562907329852664,0.08449920464331229,-0.20368272638243226,0.03661531020936218,0.03661531020936218,0.21306346801931805,0.1665290358717902,0.015383753271994621,0.49951040047993067,0.49951040047993067,0.18138246288747198,0.1786290076760018,0.0002964329219773513,0.46364714010147695,0.46364714010147695,-0.022965571147977495,0.08031288103845499,-0.1837057407394276,0.08094769149668685,0.08094769149668685,0.9059328998844629,0.21373460898265198,0.38360096017935036,1.0,1.0,-0.12767463415790845,0.05928991322903264,-0.22683702155030577,-0.049733549347405065,-0.049733549347405065,,,,,,0.32908028670482015,0.21514038377233685,0.038842633634558414,0.6642710641693037,0.6642710641693037
S1_service,held_out,area_closure,4,-0.07564016321458697,0.07784141703108195,-0.15645062732984075,0.00431427511625322,0.00431427511625322,0.2752131247302566,0.2356018037514401,0.0,0.5922298189932259,0.5922298189932259,0.2524975471725908,0.2600031540685192,0.0,0.6548000426743409,0.6548000426743409,-0.01259360026413215,0.06633122558699511,-0.12445692490392948,0.037247047734237745,0.037247047734237745,0.5568178501235673,0.45040754229300506,0.0,1.0,1.0,-0.15660806936164728,0.10886670206229791,-0.30667843194606237,0.0,0.0,,,,,,0.4413726832058509,0.37391302285956485,0.0,0.9649368829354191,0.9649368829354191
