scenario,type,location,severity,n,mean_att,std_att,min_att,max_att,p95_att,mean_CEF,std_CEF,min_CEF,max_CEF,p95_CEF,mean_dun,std_dun,min_dun,max_dun,p95_dun,mean_gc,std_gc,min_gc,max_gc,p95_gc,mean_cost,std_cost,min_cost,max_cost,p95_cost,mean_energy,std_energy,min_energy,max_energy,p95_energy,mean_vkm,std_vkm,min_vkm,max_vkm,p95_vkm,mean_vh,std_vh,min_vh,max_vh,p95_vh,mean_invalid_edges,std_invalid_edges,min_invalid_edges,max_invalid_edges,p95_invalid_edges,mean_delta_att,std_delta_att,min_delta_att,max_delta_att,p95_delta_att,mean_delta_CEF,std_delta_CEF,min_delta_CEF,max_delta_CEF,p95_delta_CEF,mean_delta_dun,std_delta_dun,min_delta_dun,max_delta_dun,p95_delta_dun,mean_delta_gc,std_delta_gc,min_delta_gc,max_delta_gc,p95_delta_gc,mean_delta_cost,std_delta_cost,min_delta_cost,max_delta_cost,p95_delta_cost,mean_delta_energy,std_delta_energy,min_delta_energy,max_delta_energy,p95_delta_energy,mean_delta_vkm,std_delta_vkm,min_delta_vkm,max_delta_vkm,p95_delta_vkm,mean_delta_vh,std_delta_vh,min_delta_vh,max_delta_vh,p95_delta_vh,mean_pct_delta_att,std_pct_delta_att,min_pct_delta_att,max_pct_delta_att,p95_pct_delta_att,mean_pct_delta_CEF,std_pct_delta_CEF,min_pct_delta_CEF,max_pct_delta_CEF,p95_pct_delta_CEF,mean_pct_delta_gc,std_pct_delta_gc,min_pct_delta_gc,max_pct_delta_gc,p95_pct_delta_gc,mean_pct_delta_cost,std_pct_delta_cost,min_pct_delta_cost,max_pct_delta_cost,p95_pct_delta_cost,mean_pct_delta_energy,std_pct_delta_energy,min_pct_delta_energy,max_pct_delta_energy,p95_pct_delta_energy
S1_service,area_closure,peripheral_area,severe,5,15.849758531692135,1.9432687918125195,12.158381512867773,17.87569370667278,17.87569370667278,0.9220505425417658,0.13347851502560498,0.7711398233713572,1.088635189427561,1.088635189427561,33.95108804090556,9.79709542992688,22.6413279203753,48.351324665440764,48.351324665440764,30.98451122361366,3.5390878499650813,26.25122482715566,35.290437792782605,35.290437792782605,27640.595666879228,1574.173363303786,25469.157248306412,29628.886378863794,29628.886378863794,,,,,,17597.917850399033,1112.6841049233974,16340.488445805187,19204.393915579738,19204.393915579738,753.4589659200001,40.39017395070012,686.7138576,792.5206248000001,792.5206248000001,0.0,0.0,0.0,0.0,0.0,-2.1436741613730534,1.9432687918125195,-5.835051180197414,-0.11773898639240699,-0.11773898639240699,-0.76406218177885,0.13347851502560498,-0.9149729009492585,-0.5974775348930548,-0.5974775348930548,33.95108804090556,9.79709542992688,22.6413279203753,48.351324665440764,48.351324665440764,12.991078530548469,3.5390878499650813,8.257792134090472,17.297005099717417,17.297005099717417,-6885.597196196116,1574.1733633037861,-9057.035614768934,-4897.306484211553,-4897.306484211553,,,,,,-4733.8506424451425,1112.6841049233976,-5991.28004703899,-3127.3745772644397,-3127.3745772644397,-172.13981567999994,40.39017395070012,-238.88492400000007,-133.0781568,-133.0781568,-0.11913647595432095,0.10799878071967171,-0.3242878265494215,-0.006543442176977411,-0.006543442176977411,-0.45315011906259894,0.07916345870611194,-0.54265227214742,-0.3543520704606485,-0.3543520704606485,0.7219900033613562,0.19668775326728372,0.4589336717986608,0.9612954567798406,0.9612954567798406,-0.19943111664535826,0.04559359815739528,-0.26232361183544056,-0.14184322330682061,-0.14184322330682061,,,,,
S1_service,combined_disruption,peripheral_area + central_area,mild,1,18.112286800237847,0.0,18.112286800237847,18.112286800237847,18.112286800237847,1.3938107847537822,0.0,1.3938107847537822,1.3938107847537822,1.3938107847537822,13.078500963407327,0.0,13.078500963407327,13.078500963407327,13.078500963407327,23.590571774618038,0.0,23.590571774618038,23.590571774618038,23.590571774618038,32857.51137036717,0.0,32857.51137036717,32857.51137036717,32857.51137036717,,,,,,21143.14752495895,0.0,21143.14752495895,21143.14752495895,21143.14752495895,885.7218528000002,0.0,885.7218528000002,885.7218528000002,885.7218528000002,0.0,0.0,0.0,0.0,0.0,0.11885410717265898,0.0,0.11885410717265898,0.11885410717265898,0.11885410717265898,-0.2923019395668336,0.0,-0.2923019395668336,-0.2923019395668336,-0.2923019395668336,13.078500963407327,0.0,13.078500963407327,13.078500963407327,13.078500963407327,5.59713908155285,0.0,5.59713908155285,5.59713908155285,5.59713908155285,-1668.6814927081796,0.0,-1668.6814927081796,-1668.6814927081796,-1668.6814927081796,,,,,,-1188.6209678852283,0.0,-1188.6209678852283,-1188.6209678852283,-1188.6209678852283,-39.87692879999986,0.0,-39.87692879999986,-39.87692879999986,-39.87692879999986,0.006605415942588114,0.0,0.006605415942588114,0.006605415942588114,0.006605415942588114,-0.1733584803380276,0.0,-0.1733584803380276,-0.1733584803380276,-0.1733584803380276,0.3110656636245974,0.0,0.3110656636245974,0.3110656636245974,0.3110656636245974,-0.04833088604138514,0.0,-0.04833088604138514,-0.04833088604138514,-0.04833088604138514,,,,,
S1_service,combined_disruption,central + any_road,moderate,2,16.13178588518197,1.0245674353459098,15.107218449836061,17.15635332052788,17.15635332052788,1.2026687716025988,0.0355336415373223,1.1671351300652764,1.238202413139921,1.238202413139921,28.03260400921417,0.0652037140793098,27.967400295134862,28.09780772329348,28.09780772329348,28.4298566899242,0.7087507984849051,27.721105891439294,29.138607488409104,29.138607488409104,32100.60437236307,1002.7052954739811,31097.899076889087,33103.30966783705,33103.30966783705,,,,,,20440.886066453837,1080.5401203424753,19360.34594611136,21521.42618679631,21521.42618679631,874.8830844,7.681844400000045,867.20124,882.5649288000001,882.5649288000001,0.0,0.0,0.0,0.0,0.0,-1.8616468078832167,1.0245674353459098,-2.8862142432291265,-0.8370793725373069,-0.8370793725373069,-0.4834439527180171,0.0355336415373223,-0.5189775942553394,-0.4479103111806948,-0.4479103111806948,28.03260400921417,0.0652037140793098,27.967400295134862,28.09780772329348,28.09780772329348,10.436423996859011,0.7087507984849051,9.727673198374106,11.145174795343916,11.145174795343916,-2425.588490712278,1002.7052954739811,-3428.2937861862592,-1422.883195238297,-1422.883195238297,,,,,,-1890.8824263903425,1080.5401203424753,-2971.422546732818,-810.3423060478672,-810.3423060478672,-50.71569720000002,7.681844400000045,-58.39754160000007,-43.03385279999998,-43.03385279999998,-0.10346257101907576,0.05694118808918468,-0.16040375910826044,-0.04652138292989108,-0.04652138292989108,-0.2867210155909421,0.021074297717336682,-0.30779531330827875,-0.2656467178736054,-0.2656467178736054,0.5800129511075056,0.03938941560373094,0.5406235355037746,0.6194023667112365,0.6194023667112365,-0.07025357531691157,0.0290418726284282,-0.09929544794533976,-0.041211702688483356,-0.041211702688483356,,,,,
S1_service,demand_surge,peripheral_area,mild,10,18.132145214444503,0.0,18.132145214444503,18.132145214444503,18.132145214444503,1.7010995063842724,0.0,1.7010995063842724,1.7010995063842724,1.7010995063842724,0.0,0.0,0.0,0.0,0.0,18.132145214444503,0.0,18.132145214444503,18.132145214444503,18.132145214444503,34526.19286307535,0.0,34526.19286307535,34526.19286307535,34526.19286307535,,,,,,22331.76849284418,3.637978807091713e-12,22331.768492844178,22331.768492844178,22331.768492844178,925.5987815999999,1.1368683772161603e-13,925.5987816,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,0.13871252137931478,0.0,0.13871252137931478,0.13871252137931478,0.13871252137931478,0.014986782063656667,0.0,0.014986782063656667,0.014986782063656667,0.014986782063656667,0.0,0.0,0.0,0.0,0.0,0.13871252137931478,0.0,0.13871252137931478,0.13871252137931478,0.13871252137931478,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077090638426527535,8.673617379884035e-19,0.007709063842652753,0.007709063842652753,0.007709063842652753,0.008888363065817724,1.734723475976807e-18,0.008888363065817726,0.008888363065817726,0.008888363065817726,0.0077090638426527535,8.673617379884035e-19,0.007709063842652753,0.007709063842652753,0.007709063842652753,0.0,0.0,0.0,0.0,0.0,,,,,
S1_service,area_closure,central_area,moderate,1,15.620980781654351,0.0,15.620980781654351,15.620980781654351,15.620980781654351,1.0054370752472597,0.0,1.0054370752472597,1.0054370752472597,1.0054370752472597,41.42262633771367,0.0,41.42262633771367,41.42262633771367,41.42262633771367,34.00393608481181,0.0,34.00393608481181,34.00393608481181,34.00393608481181,29802.22123689775,0.0,29802.22123689775,29802.22123689775,29802.22123689775,,,,,,19052.69959812218,0.0,19052.69959812218,19052.69959812218,19052.69959812218,808.8923088000001,0.0,808.8923088000001,808.8923088000001,808.8923088000001,0.0,0.0,0.0,0.0,0.0,-2.3724519114108364,0.0,-2.3724519114108364,-2.3724519114108364,-2.3724519114108364,-0.6806756490733561,0.0,-0.6806756490733561,-0.6806756490733561,-0.6806756490733561,41.42262633771367,0.0,41.42262633771367,41.42262633771367,41.42262633771367,16.010503391746624,0.0,16.010503391746624,16.010503391746624,16.010503391746624,-4723.9716261775975,0.0,-4723.9716261775975,-4723.9716261775975,-4723.9716261775975,,,,,,-3279.068894721997,0.0,-3279.068894721997,-3279.068894721997,-3279.068894721997,-116.70647279999991,0.0,-116.70647279999991,-116.70647279999991,-116.70647279999991,-0.13185098985171398,0.0,-0.13185098985171398,-0.13185098985171398,-0.13185098985171398,-0.40369522111733086,0.0,-0.40369522111733086,-0.40369522111733086,-0.40369522111733086,0.8897970534503513,0.0,0.8897970534503513,0.8897970534503513,0.8897970534503513,-0.13682283606860499,0.0,-0.13682283606860499,-0.13682283606860499,-0.13682283606860499,,,,,
S1_service,area_closure,peripheral_area,moderate,4,16.82577657983876,0.8312317399391491,15.395380844067391,17.426940884591467,17.426940884591467,1.3326766031566093,0.11262129661531971,1.2456305391851306,1.5262224656237797,1.5262224656237797,12.52175131049494,3.41802466080104,8.84784771787001,15.94564037594185,15.94564037594185,22.250653413390634,1.126926741703181,21.193740323961592,23.99212333157155,23.99212333157155,29618.01793010901,1342.4595928668725,27837.18799479692,31604.146013844595,31604.146013844595,,,,,,18281.61453963626,1439.9810934084667,16689.620199496152,20608.256089305734,20608.256089305734,832.9292388000001,16.389509848595907,804.7495464,845.3686176,845.3686176,0.0,0.0,0.0,0.0,0.0,-1.1676561132264278,0.8312317399391492,-2.5980518489977964,-0.5664918084737209,-0.5664918084737209,-0.35343612116400636,0.11262129661531971,-0.4404821851354852,-0.15989025869683604,-0.15989025869683604,12.52175131049494,3.41802466080104,8.84784771787001,15.94564037594185,15.94564037594185,4.257220720325447,1.126926741703181,3.200307630896404,5.9986906385063605,5.9986906385063605,-4908.174932966337,1342.4595928668725,-6689.004868278425,-2922.046849230752,-2922.046849230752,,,,,,-4050.1539532079196,1439.9810934084667,-5642.148293348026,-1723.5124035384433,-1723.5124035384433,-92.66954279999996,16.38950984859591,-120.84923520000007,-80.23016400000006,-80.23016400000006,-0.0648934604721895,0.0461963958805655,-0.14438889417687967,-0.03148325381471271,-0.03148325381471271,-0.20961595038458425,0.0667934563276,-0.2612412437092356,-0.09482773980088462,-0.09482773980088462,0.23659858532531225,0.06262989174586502,0.17785976058530667,0.3333822256616051,0.3333822256616051,-0.1421580118152984,0.03888235225328276,-0.19373711126523022,-0.08463275579844735,-0.08463275579844735,,,,,
S1_service,combined_disruption,any_road + central_area,mild,3,16.691500561189226,1.6155539163694388,14.406762301914595,17.83386969082654,17.83386969082654,1.3418072486057684,0.4625411240913839,0.6876753177604366,1.6688732140284344,1.6688732140284344,18.50965328104667,26.176602704879862,0.0,55.528959843140015,55.528959843140015,25.130650778708297,10.319206776149887,17.83386969082654,39.72421295447181,39.72421295447181,32959.62925640516,2215.4554988730893,29826.502043064786,34526.19286307535,34526.19286307535,,,,,,21179.243984506447,1629.9157906586017,18874.194967830987,22331.768492844178,22331.768492844178,889.7907816000001,50.64015924145588,818.1747815999998,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,-1.3019321318759633,1.6155539163694388,-3.5866703911505926,-0.15956300223864872,-0.15956300223864872,-0.3443054757148474,0.4625411240913839,-0.9984374065601792,-0.017239510292181404,-0.017239510292181404,18.50965328104667,26.176602704879862,0.0,55.528959843140015,55.528959843140015,7.1372180856431084,10.319206776149887,-0.15956300223864872,21.730780261406622,21.730780261406622,-1566.563606670187,2215.4554988730893,-4699.690820010561,0.0,0.0,,,,,,-1152.5245083377304,1629.9157906586017,-3457.573525013191,0.0,0.0,-35.80800000000007,50.640159241455876,-107.4240000000002,0.0,0.0,-0.0723559619826037,0.08978575372069424,-0.19933219260230006,-0.00886784667275553,-0.00886784667275553,-0.20420074574407718,0.2743239626981377,-0.5921534142757146,-0.010224411478258495,-0.010224411478258495,0.3966568362685931,0.5734985064927045,-0.00886784667275553,1.2077062021512903,1.2077062021512903,-0.04537319283602729,0.06416738467687956,-0.13611957850808187,0.0,0.0,,,,,
S1_service,combined_disruption,peripheral_area + central_area,moderate,2,16.30266101335341,0.4660929132258902,15.83656810012752,16.7687539265793,16.7687539265793,1.1305199572157925,0.13765949394494853,0.9928604632708439,1.268179451160741,1.268179451160741,25.33531224945022,4.222327306165404,21.112984943284815,29.557639555615623,29.557639555615623,27.353838321973832,2.193051494388392,25.16078682758544,29.546889816362224,29.546889816362224,30359.086726937054,15.088297229591262,30343.998429707462,30374.175024166645,30374.175024166645,,,,,,19485.219772671317,104.47121553699253,19380.748557134324,19589.69098820831,19589.69098820831,820.6061616,3.80492640000017,816.8012351999998,824.4110880000002,824.4110880000002,0.0,0.0,0.0,0.0,0.0,-1.6907716797117773,0.4660929132258902,-2.1568645929376675,-1.2246787664858871,-1.2246787664858871,-0.5555927671048233,0.13765949394494853,-0.6932522610497719,-0.41793327315987483,-0.41793327315987483,25.33531224945022,4.222327306165404,21.112984943284815,29.557639555615623,29.557639555615623,9.360405628908644,2.193051494388392,7.167354134520252,11.553457123297036,11.553457123297036,-4167.106136138293,15.088297229591262,-4182.194433367884,-4152.017838908701,-4152.017838908701,,,,,,-2846.548720172861,104.47121553699253,-2951.0199357098536,-2742.0775046358685,-2742.0775046358685,-104.99262000000004,3.80492640000017,-108.79754640000021,-101.18769359999988,-101.18769359999988,-0.09396604353117202,0.025903501637323828,-0.11986954516849585,-0.0680625418938482,-0.0680625418938482,-0.32951104578650753,0.08164311434184542,-0.41115416012835293,-0.2478679314446621,-0.2478679314446621,0.5202123346100724,0.12188066233929959,0.3983316722707729,0.642092996949372,0.642092996949372,-0.12069405256074088,0.0004370101647010044,-0.12113106272544188,-0.12025704239603988,-0.12025704239603988,,,,,
S1_service,combined_disruption,central + central_area,mild,1,15.033947362848604,0.0,15.033947362848604,15.033947362848604,15.033947362848604,1.2827080021359112,0.0,1.2827080021359112,1.2827080021359112,1.2827080021359112,24.606541331300967,0.0,24.606541331300967,24.606541331300967,24.606541331300967,26.09853769006381,0.0,26.09853769006381,26.09853769006381,26.09853769006381,33436.961261474324,0.0,33436.961261474324,33436.961261474324,33436.961261474324,,,,,,21582.339780842904,0.0,21582.339780842904,21582.339780842904,21582.339780842904,898.3938576,0.0,898.3938576,898.3938576,898.3938576,0.0,0.0,0.0,0.0,0.0,-2.9594853302165838,0.0,-2.9594853302165838,-2.9594853302165838,-2.9594853302165838,-0.4034047221847046,0.0,-0.4034047221847046,-0.4034047221847046,-0.4034047221847046,24.606541331300967,0.0,24.606541331300967,24.606541331300967,24.606541331300967,8.105104996998623,0.0,8.105104996998623,8.105104996998623,8.105104996998623,-1089.2316016010227,0.0,-1089.2316016010227,-1089.2316016010227,-1089.2316016010227,,,,,,-749.4287120012741,0.0,-749.4287120012741,-749.4287120012741,-749.4287120012741,-27.204924000000005,0.0,-27.204924000000005,-27.204924000000005,-27.204924000000005,-0.1644758607598645,0.0,-0.1644758607598645,-0.1644758607598645,-0.1644758607598645,-0.23925133614494734,0.0,-0.23925133614494734,-0.23925133614494734,-0.23925133614494734,0.45044795705504237,0.0,0.45044795705504237,0.45044795705504237,0.45044795705504237,-0.03154797883220773,0.0,-0.03154797883220773,-0.03154797883220773,-0.03154797883220773,,,,,
S1_service,demand_surge,peripheral_area,severe,3,18.3614770206727,0.0,18.3614770206727,18.3614770206727,18.3614770206727,1.7258769797228746,0.0,1.7258769797228746,1.7258769797228746,1.7258769797228746,0.0,0.0,0.0,0.0,0.0,18.3614770206727,0.0,18.3614770206727,18.3614770206727,18.3614770206727,34526.19286307535,0.0,34526.19286307535,34526.19286307535,34526.19286307535,,,,,,22331.768492844178,0.0,22331.768492844178,22331.768492844178,22331.768492844178,925.5987816,0.0,925.5987816,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,0.3680443276075138,0.0,0.3680443276075138,0.3680443276075138,0.3680443276075138,0.03976425540225881,0.0,0.03976425540225881,0.03976425540225881,0.03976425540225881,0.0,0.0,0.0,0.0,0.0,0.3680443276075138,0.0,0.3680443276075138,0.3680443276075138,0.3680443276075138,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020454369874035264,0.0,0.020454369874035264,0.020454369874035264,0.020454369874035264,0.023583390854416922,0.0,0.023583390854416922,0.023583390854416922,0.023583390854416922,0.020454369874035264,0.0,0.020454369874035264,0.020454369874035264,0.020454369874035264,0.0,0.0,0.0,0.0,0.0,,,,,
