scenario,type,n,mean_att,std_att,min_att,max_att,p95_att,mean_CEF,std_CEF,min_CEF,max_CEF,p95_CEF,mean_dun,std_dun,min_dun,max_dun,p95_dun,mean_gc,std_gc,min_gc,max_gc,p95_gc,mean_cost,std_cost,min_cost,max_cost,p95_cost,mean_energy,std_energy,min_energy,max_energy,p95_energy,mean_vkm,std_vkm,min_vkm,max_vkm,p95_vkm,mean_vh,std_vh,min_vh,max_vh,p95_vh,mean_invalid_edges,std_invalid_edges,min_invalid_edges,max_invalid_edges,p95_invalid_edges,mean_delta_att,std_delta_att,min_delta_att,max_delta_att,p95_delta_att,mean_delta_CEF,std_delta_CEF,min_delta_CEF,max_delta_CEF,p95_delta_CEF,mean_delta_dun,std_delta_dun,min_delta_dun,max_delta_dun,p95_delta_dun,mean_delta_gc,std_delta_gc,min_delta_gc,max_delta_gc,p95_delta_gc,mean_delta_cost,std_delta_cost,min_delta_cost,max_delta_cost,p95_delta_cost,mean_delta_energy,std_delta_energy,min_delta_energy,max_delta_energy,p95_delta_energy,mean_delta_vkm,std_delta_vkm,min_delta_vkm,max_delta_vkm,p95_delta_vkm,mean_delta_vh,std_delta_vh,min_delta_vh,max_delta_vh,p95_delta_vh,mean_pct_delta_att,std_pct_delta_att,min_pct_delta_att,max_pct_delta_att,p95_pct_delta_att,mean_pct_delta_CEF,std_pct_delta_CEF,min_pct_delta_CEF,max_pct_delta_CEF,p95_pct_delta_CEF,mean_pct_delta_gc,std_pct_delta_gc,min_pct_delta_gc,max_pct_delta_gc,p95_pct_delta_gc,mean_pct_delta_cost,std_pct_delta_cost,min_pct_delta_cost,max_pct_delta_cost,p95_pct_delta_cost,mean_pct_delta_energy,std_pct_delta_energy,min_pct_delta_energy,max_pct_delta_energy,p95_pct_delta_energy
S1_service,area_closure,18,16.174795973672577,1.3913346844137346,12.158381512867773,17.87569370667278,17.87569370667278,1.1583039609363215,0.2177403718769033,0.7711398233713572,1.5892437236995836,1.5892437236995836,27.04011883771755,12.507730753517311,5.250014527178018,48.351324665440764,48.351324665440764,28.145455265403708,4.853790243933089,19.927904207263804,35.290437792782605,35.290437792782605,30125.605040442846,2272.743519269543,25469.157248306412,33167.50926182493,33167.50926182493,,,,,,19253.044579553556,1812.8046218357108,16340.488445805187,21872.475376435275,21872.475376435275,817.9538542666669,51.706827306901936,686.7138576,890.8837008,890.8837008,0.0,0.0,0.0,0.0,0.0,-1.8186367193926114,1.3913346844137344,-5.835051180197414,-0.11773898639240699,-0.11773898639240699,-0.5278087633842944,0.2177403718769033,-0.9149729009492585,-0.09686900062103221,-0.09686900062103221,27.04011883771755,12.507730753517311,5.250014527178018,48.351324665440764,48.351324665440764,10.152022572338524,4.853790243933089,1.9344715141986164,17.297005099717417,17.297005099717417,-4400.5878226324985,2272.743519269543,-9057.035614768934,-1358.6836012504136,-1358.6836012504136,,,,,,-3078.723913290621,1812.8046218357108,-5991.28004703899,-459.2931164089023,-459.2931164089023,-107.64492733333333,51.706827306901936,-238.88492400000007,-34.71508080000001,-34.71508080000001,-0.10107224954877725,0.07732458326031173,-0.3242878265494215,-0.006543442176977411,-0.006543442176977411,-0.31303290448564997,0.12913749403358382,-0.54265227214742,-0.05745108213928198,-0.05745108213928198,0.5642071051985091,0.269753433195867,0.10750986469325428,0.9612954567798406,0.9612954567798406,-0.12745650353296803,0.06582664727277734,-0.26232361183544056,-0.03935225660815566,-0.03935225660815566,,,,,
S1_service,combined_disruption,32,16.844359405708705,1.523801623752242,11.440756275303706,18.817713969671,18.41416957514484,1.3138227018257858,0.3226317570084596,0.44264622379844143,1.7010995063842724,1.699804806785245,18.330024728338206,16.782972917349973,0.0,62.89321898119443,55.528959843140015,24.974808994538225,6.423575272402443,17.83386969082654,41.98122776668886,39.72421295447181,32127.416671453586,2216.007188505327,25091.613812597112,34526.19286307535,34526.19286307535,,,,,,20762.418682066986,1581.7387003302447,15893.26762374638,22331.768492844178,22331.768492844178,862.0823181000002,54.90635509118667,687.6110952000004,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,-1.1490732873564808,1.5238016237522418,-6.552676417761482,0.824281276605813,0.42073688207965176,-0.3722900224948303,0.32263175700845953,-1.2434665005221743,0.014986782063656667,0.013692082464629163,18.330024728338206,16.782972917349973,0.0,62.89321898119443,55.528959843140015,6.981376301473038,6.423575272402443,-0.15956300223864872,23.987795073623673,21.730780261406622,-2398.7761916217573,2216.0071885053276,-9434.579050478234,0.0,0.0,,,,,,-1569.3498107771943,1581.7387003302447,-6438.5008690977975,0.0,0.0,-63.5164635,54.90635509118666,-237.9876863999997,0.0,0.0,-0.06386070445576199,0.08468654368210282,-0.36417044649223246,0.04581011809511464,0.023382802451130245,-0.22079782515420895,0.19134649324140374,-0.7374753078998342,0.008888363065817726,0.008120502423790263,0.38799579938761297,0.35699554287260266,-0.00886784667275553,1.3331416791232258,1.2077062021512903,-0.06947699681615264,0.0641833635493381,-0.2732585978388661,0.0,0.0,,,,,
S1_service,demand_surge,25,18.063835329433786,0.2186948607062033,17.4300608153581,18.3614770206727,18.3614770206727,1.6937191679024324,0.023628236176911725,1.6252448843589997,1.7258769797228746,1.7258769797228746,0.0,0.0,0.0,0.0,0.0,18.063835329433786,0.2186948607062033,17.4300608153581,18.3614770206727,18.3614770206727,34526.192863075325,2.1827872842550278e-11,34526.19286307535,34526.19286307535,34526.19286307535,,,,,,22331.768492844185,7.275957614183426e-12,22331.768492844178,22331.768492844178,22331.768492844178,925.5987816000004,3.410605131648481e-13,925.5987816,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,0.07040263636860132,0.2186948607062034,-0.5633718777070875,0.3680443276075138,0.3680443276075138,0.007606443581815486,0.023628236176911725,-0.060867839961616044,0.03976425540225881,0.03976425540225881,0.0,0.0,0.0,0.0,0.0,0.07040263636860132,0.2186948607062034,-0.5633718777070875,0.3680443276075138,0.3680443276075138,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003912685120707127,0.01215414892959753,-0.03130986106526608,0.020454369874035264,0.020454369874035264,0.004511230757054125,0.014013438031809074,-0.03609950810740811,0.023583390854416922,0.023583390854416922,0.003912685120707127,0.01215414892959753,-0.03130986106526608,0.020454369874035264,0.020454369874035264,0.0,0.0,0.0,0.0,0.0,,,,,
S1_service,link_failure,58,17.7109246968076,0.7530399726850934,14.769995301979346,18.358993762208332,18.29819127367958,1.5550521630434844,0.14986776096928778,1.0512951635305348,1.6861127243206158,1.6861127243206158,5.828524480774909,8.086333389927926,0.0,30.554342765357724,25.532587867905264,20.224341842134127,2.9728415480903587,17.993432693065188,28.58972597019998,27.095302467246277,34086.119500209454,457.8405114086088,32735.65745849965,34526.19286307535,34526.19286307535,,,,,,22060.4457077446,354.38492724985264,20835.133565361546,22331.768492844178,22331.768492844178,913.2090518896547,12.953151982867016,865.7280096000001,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,-0.28250799625758927,0.7530399726850935,-3.2234373910858416,0.3655610691431441,0.30475858061439354,-0.1310605612771326,0.14986776096928778,-0.634817560790081,0.0,0.0,5.828524480774909,8.086333389927926,0.0,30.554342765357724,25.532587867905264,2.2309091490689497,2.972841548090359,0.0,10.59629327713479,9.10186977418109,-440.0733628658749,457.84051140860873,-1790.5354045756976,0.0,0.0,,,,,,-271.3227850995822,354.3849272498527,-1496.6349274826316,0.0,0.0,-12.38972971034481,12.953151982867011,-59.87077199999999,0.0,0.0,-0.015700617057159423,0.041850823327075376,-0.17914521626149635,0.020316360717765335,0.01693721180460746,-0.07772941831628764,0.0888835952706981,-0.37649769889843376,0.0,0.0,0.12398463301161872,0.16521814368617477,0.0,0.5888978194371265,0.505843989273321,-0.012746072658839815,0.013260671781111856,-0.05186020398126831,0.0,0.0,,,,,
S1_service,node_removal,17,16.955846017866904,1.1420936271777744,15.187448990314463,18.186273456993295,18.186273456993295,1.412010942330369,0.1264503598112665,1.191863407154221,1.5891236582479997,1.5891236582479997,15.184668073969917,8.938368416832388,0.456526433366166,29.249974353253613,29.249974353253613,23.5689562931357,3.172888794145491,18.349857361559856,28.858968266617737,28.858968266617737,33107.4069238776,940.7761869847916,30755.531300785282,34226.2152136449,34226.2152136449,,,,,,21346.485741552882,772.725477963983,19166.1645919816,22130.261117056125,22130.261117056125,890.5676850352942,19.57430587927866,856.8110904,917.8892400000001,917.8892400000001,0.0,0.0,0.0,0.0,0.0,-1.0375866751982823,1.1420936271777744,-2.8059837027507246,0.1928407639281069,0.1928407639281069,-0.2741017819902466,0.1264503598112665,-0.49424931716639486,-0.09698906607261604,-0.09698906607261604,15.184668073969917,8.938368416832388,0.456526433366166,29.249974353253613,29.249974353253613,5.575523600070512,3.172888794145491,0.35642466849466814,10.865535573552549,10.865535573552549,-1418.785939197743,940.7761869847917,-3770.6615622900645,-299.97764943044604,-299.97764943044604,,,,,,-985.282751291292,772.725477963983,-3165.6039008625776,-201.50737578805274,-201.50737578805274,-35.031096564705905,19.57430587927866,-68.78769120000004,-7.709541599999966,-7.709541599999966,-0.05766474318144844,0.06347280403132563,-0.15594488003571286,0.01071728597970243,0.01071728597970243,-0.16256432801709042,0.07499519930508625,-0.2931294628391719,-0.057522290576210305,-0.057522290576210305,0.3098643652480698,0.17633593590890234,0.019808597646408906,0.603861184183061,0.603861184183061,-0.041093031740406245,0.027248187795154255,-0.10921162310724,-0.008688407975362453,-0.008688407975362453,,,,,
S2_energy,area_closure,18,18.14558420853243,1.4534276152878627,13.675798263161903,20.79568257885124,20.79568257885124,1.3341639243702572,0.2507500468078163,0.8728893203620263,1.774382899857093,1.774382899857093,20.697876843848235,12.792292895668531,5.0543603414496605,46.63187653736985,46.63187653736985,26.9306391270798,4.7860256614907835,20.66883948863811,35.277642824006385,35.277642824006385,30834.112110446084,1754.374494045821,27003.686633831338,32743.362453444963,32743.362453444963,22679.270836869124,1371.3578647983945,19599.155587547004,24742.17354695385,24742.17354695385,18899.392364057603,1142.7982206653287,16332.62965628917,20618.477955794875,20618.477955794875,873.0332344000001,50.07634877594842,761.7046175999999,927.4375416000001,927.4375416000001,0.0,0.0,0.0,0.0,0.0,-1.1449649953813743,1.4534276152878627,-5.6147509407518985,1.5051333749374365,1.5051333749374365,-0.5530061030431824,0.2507500468078163,-1.0142807070514133,-0.11278712755634657,-0.11278712755634657,20.697876843848235,12.792292895668531,5.0543603414496605,46.63187653736985,46.63187653736985,7.640089923165998,4.7860256614907835,1.378290284724308,15.987093620092583,15.987093620092583,-3509.151024116937,1754.3744940458207,-7339.576500731684,-1599.9006811180589,-1599.9006811180589,-2614.054449775408,1371.3578647983945,-5694.169699097529,-551.151739690682,-551.151739690682,-2178.3787081461733,1142.7982206653287,-4745.141415914608,-459.2931164089023,-459.2931164089023,-98.13600319999998,50.076348775948425,-209.4646200000002,-43.73169599999994,-43.73169599999994,-0.05935367538157369,0.07534402467882984,-0.2910622648116591,0.07802439210139567,0.07802439210139567,-0.29303459413306504,0.13287093540347025,-0.5374612209380991,-0.05976521771646242,-0.05976521771646242,0.39605352042625735,0.24810209449712092,0.07144899142864583,0.8287526420890604,0.8287526420890604,-0.1021787303777005,0.05108351198812615,-0.21371226350780695,-0.04658557560035466,-0.04658557560035466,-0.10334957622814785,0.05421817215637137,-0.22512538919128136,-0.021790402544726018,-0.021790402544726018
S2_energy,combined_disruption,32,18.584858961925228,1.306284355662763,13.961130927158834,20.13471941630534,19.881330020526395,1.4486865864901948,0.38388723172938205,0.4787809703746347,1.900235606201579,1.8885268734961458,15.432419090335348,16.204444992952457,0.0,58.129371139977906,57.67934680743314,25.151725017505317,6.1170509086340115,19.05403852180518,41.153894974616364,40.72323599915918,31861.371560353095,2241.2293695848866,25462.74420257191,34097.23597055356,34091.62631330751,23414.755162654626,1820.7417002094626,17736.656187857858,25204.22054063033,25128.55512703774,19512.29596887886,1517.284750174552,14780.546823214883,21003.517117191943,20940.462605864785,902.8630436249999,59.01036732362266,716.8541616000002,966.6720072,964.3680072000001,0.0,0.0,0.0,0.0,0.0,-0.7056902419885744,1.3062843556627628,-5.329418276754968,0.8441702123915391,0.5907808166125932,-0.4384834409232452,0.383887231729382,-1.408389057038805,0.01306557878813952,0.0013568460827062534,15.432419090335348,16.204444992952457,0.0,58.129371139977906,57.67934680743314,5.861175813591508,6.117050908634011,-0.23651068210862292,21.863345770702562,21.432686795245377,-2481.891574209929,2241.2293695848866,-8880.518931991111,-246.0271640094652,-251.63682125550986,-1878.5701239898976,1820.7417002094628,-7556.669098786675,-89.10474601420356,-164.77015960679273,-1565.4751033249145,1517.284750174552,-6297.224248988894,-74.25395501183448,-137.30846633899273,-68.30619397500001,59.010367323622674,-254.31507599999986,-4.497230400000035,-6.801230400000009,-0.03658217474935339,0.06771628644962241,-0.276270945965276,0.04376081797714022,0.03062540160819949,-0.23234972713308288,0.2034195256139898,-0.7462968553867649,0.006923371290528198,0.0007189845445807288,0.30383664827968465,0.31710092045450633,-0.012260443163569338,1.133370830430622,1.111045961869088,-0.07226720316253689,0.06525965109382154,-0.25858110503931026,-0.007163767841322676,-0.007327108675420619,-0.07427137802959528,0.07198506639895454,-0.2987613931006839,-0.0035228561292118023,-0.00651437316918528
S2_energy,demand_surge,25,19.39192033452763,0.31489368058822853,18.4793630446313,19.82048773363374,19.82048773363374,1.8942698429885594,0.022054474922087692,1.8303562965896873,1.9242857802355466,1.9242857802355466,0.0,0.0,0.0,0.0,0.0,19.39192033452763,0.31489368058822853,18.4793630446313,19.82048773363374,19.82048773363374,34343.263134563,2.1827872842550278e-11,34343.26313456302,34343.26313456302,34343.26313456302,25293.325286644525,7.275957614183426e-12,25293.325286644533,25293.325286644533,25293.325286644533,21077.771072203774,3.637978807091713e-12,21077.771072203777,21077.771072203777,21077.771072203777,971.1692375999995,5.684341886080801e-13,971.1692376000001,971.1692376000001,971.1692376000001,0.0,0.0,0.0,0.0,0.0,0.1013711306138292,0.3148936805882286,-0.8111861592825029,0.5299385297199386,0.5299385297199386,0.007099815575119042,0.022054474922087702,-0.056813730823752184,0.037115752822107106,0.037115752822107106,0.0,0.0,0.0,0.0,0.0,0.1013711306138292,0.3148936805882286,-0.8111861592825029,0.5299385297199386,0.5299385297199386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005254963430137194,0.016323728125083172,-0.042050962401730056,0.02747140706664904,0.02747140706664904,0.00376214939405861,0.011686533063645366,-0.030105252838092834,0.01966741326057306,0.01966741326057306,0.005254963430137194,0.016323728125083172,-0.042050962401730056,0.02747140706664904,0.02747140706664904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2_energy,link_failure,58,19.281616194377484,0.40331661966714744,18.427854235031017,20.078424624766598,20.001574735003555,1.732641156293842,0.15122994072336035,1.2480145225403327,1.8871700274134395,1.8871700274134395,3.594640180044489,3.987982659241874,0.0,22.67391901654234,10.51086166611308,20.748977812989637,1.5932626686743514,19.283476238782697,27.87946749428556,23.95016436529346,33826.39918687512,485.0668151684957,32444.353805552895,34343.26313456302,34343.26313456302,24902.843403154046,439.8311339441349,23345.764388554464,25293.325286644533,25293.325286644533,20752.36950262836,366.52594495344596,19454.80365712872,21077.771072203777,21077.771072203777,956.9168658206898,13.956816282172946,902.5920000000001,971.1692376000001,971.1692376000001,0.0,0.0,0.0,0.0,0.0,-0.00893300953631633,0.40331661966714744,-0.862694968882785,0.7878754208527958,0.7110255310897529,-0.15452887111959657,0.1512299407233603,-0.6391555048731068,0.0,0.0,3.594640180044489,3.987982659241874,0.0,22.67391901654234,10.51086166611308,1.4584286090758456,1.5932626686743514,-0.00707296513110478,8.588918290371758,4.659615161379659,-516.8639476879142,485.06681516849574,-1898.9093290101264,0.0,0.0,-390.48188349049514,439.83113394413516,-1947.5608980900688,0.0,0.0,-325.4015695754121,366.5259449534461,-1622.967415075058,0.0,0.0,-14.252371779310362,13.956816282172946,-68.57723759999999,0.0,0.0,-0.00046307699391492355,0.020907472120354126,-0.044721120159075374,0.04084256039184961,0.036858750032139835,-0.0818839155321867,0.08013583223904658,-0.3386846418651186,0.0,0.0,0.07560327047505468,0.08259291385810306,-0.0003666544200654364,0.44523969740732827,0.24154911880032337,-0.015049937033145314,0.014124074735353992,-0.05529204728071009,0.0,0.0,-0.015438139472182356,0.017389217469811143,-0.0769990057067912,0.0,0.0
S2_energy,node_removal,17,18.912864099305665,0.8504564658249651,16.748008546713013,20.556265677513196,20.556265677513196,1.5629198358534035,0.12978372361292126,1.3399348455264168,1.7972892166810495,1.7972892166810495,10.14578478949737,5.231737986458462,2.945652571597466,21.59781023416376,21.59781023416376,23.110893234846927,1.7666279304119559,20.340201602396156,26.089491583290663,26.089491583290663,32889.58117503336,694.1946298747946,31548.114008441873,34043.28548513258,34043.28548513258,24152.939150926497,571.6114575319758,23052.975831062813,25051.516435698864,25051.516435698864,20127.449292438756,476.34288127664627,19210.813192552345,20876.26369641572,20876.26369641572,932.645652282353,18.064333118018983,898.8590807999999,963.4596960000001,963.4596960000001,0.0,0.0,0.0,0.0,0.0,-0.37768510460813204,0.850456465824965,-2.5425406572007887,1.2657164735993938,1.2657164735993938,-0.3242501915600355,0.1297837236129213,-0.5472351818870227,-0.08988081073239007,-0.08988081073239007,10.14578478949737,5.231737986458462,2.945652571597466,21.59781023416376,21.59781023416376,3.8203440309331245,1.7666279304119556,1.0496523984823547,6.798942379376861,6.798942379376861,-1453.681959529664,694.1946298747946,-2795.1491261211486,-299.97764943043876,-299.97764943043876,-1140.386135718031,571.6114575319758,-2240.3494555817197,-241.80885094566838,-241.80885094566838,-950.3217797650254,476.34288127664627,-1866.9578796514324,-201.50737578805638,-201.50737578805638,-38.52358531764709,18.064333118018986,-72.31015680000019,-7.709541599999966,-7.709541599999966,-0.019578763705260648,0.04408669016289171,-0.13180239869401647,0.06561329385804093,0.06561329385804093,-0.17181821820498797,0.06877161131623272,-0.28997661786578116,-0.04762729877369924,-0.04762729877369924,0.19804226362606753,0.09157997067566796,0.054412779407513906,0.3524493941311657,0.3524493941311657,-0.0423280092469338,0.02021341499073098,-0.08138857146943948,-0.008734686865807506,-0.008734686865807506,-0.04508644564501692,0.022599300449980774,-0.08857472990175304,-0.0095601842859843,-0.0095601842859843
