scenario,type,location,n,mean_att,std_att,min_att,max_att,p95_att,mean_CEF,std_CEF,min_CEF,max_CEF,p95_CEF,mean_dun,std_dun,min_dun,max_dun,p95_dun,mean_gc,std_gc,min_gc,max_gc,p95_gc,mean_cost,std_cost,min_cost,max_cost,p95_cost,mean_energy,std_energy,min_energy,max_energy,p95_energy,mean_vkm,std_vkm,min_vkm,max_vkm,p95_vkm,mean_vh,std_vh,min_vh,max_vh,p95_vh,mean_invalid_edges,std_invalid_edges,min_invalid_edges,max_invalid_edges,p95_invalid_edges,mean_delta_att,std_delta_att,min_delta_att,max_delta_att,p95_delta_att,mean_delta_CEF,std_delta_CEF,min_delta_CEF,max_delta_CEF,p95_delta_CEF,mean_delta_dun,std_delta_dun,min_delta_dun,max_delta_dun,p95_delta_dun,mean_delta_gc,std_delta_gc,min_delta_gc,max_delta_gc,p95_delta_gc,mean_delta_cost,std_delta_cost,min_delta_cost,max_delta_cost,p95_delta_cost,mean_delta_energy,std_delta_energy,min_delta_energy,max_delta_energy,p95_delta_energy,mean_delta_vkm,std_delta_vkm,min_delta_vkm,max_delta_vkm,p95_delta_vkm,mean_delta_vh,std_delta_vh,min_delta_vh,max_delta_vh,p95_delta_vh,mean_pct_delta_att,std_pct_delta_att,min_pct_delta_att,max_pct_delta_att,p95_pct_delta_att,mean_pct_delta_CEF,std_pct_delta_CEF,min_pct_delta_CEF,max_pct_delta_CEF,p95_pct_delta_CEF,mean_pct_delta_gc,std_pct_delta_gc,min_pct_delta_gc,max_pct_delta_gc,p95_pct_delta_gc,mean_pct_delta_cost,std_pct_delta_cost,min_pct_delta_cost,max_pct_delta_cost,p95_pct_delta_cost,mean_pct_delta_energy,std_pct_delta_energy,min_pct_delta_energy,max_pct_delta_energy,p95_pct_delta_energy
S1_service,area_closure,peripheral_area,10,16.425944310801462,1.5995988415494744,12.158381512867773,17.87569370667278,17.87569370667278,1.153020284903485,0.26943428965405025,0.7711398233713572,1.5892437236995836,1.5892437236995836,22.50924599736856,13.704404338795735,5.250014527178018,48.351324665440764,48.351324665440764,26.38530739788946,5.324926844368158,19.927904207263804,35.290437792782605,35.290437792782605,28956.831423438038,2133.200787235202,25469.157248306412,32893.26417954822,32893.26417954822,,,,,,18298.852278697545,1723.7467259254902,16340.488445805187,21872.475376435275,21872.475376435275,795.4305333600003,52.19918535214272,686.7138576,855.2935488,855.2935488,0.0,0.0,0.0,0.0,0.0,-1.567488382263727,1.5995988415494742,-5.835051180197414,-0.11773898639240699,-0.11773898639240699,-0.5330924394171308,0.26943428965405025,-0.9149729009492585,-0.09686900062103221,-0.09686900062103221,22.50924599736856,13.704404338795735,5.250014527178018,48.351324665440764,48.351324665440764,8.391874704824275,5.324926844368158,1.9344715141986164,17.297005099717417,17.297005099717417,-5569.361439637305,2133.200787235202,-9057.035614768934,-1632.9286835271269,-1632.9286835271269,,,,,,-4032.9162141466295,1723.7467259254902,-5991.28004703899,-459.2931164089023,-459.2931164089023,-130.16824823999997,52.19918535214272,-238.88492400000007,-70.3052328,-70.3052328,-0.08711447165208502,0.08889903715626048,-0.3242878265494215,-0.006543442176977411,-0.006543442176977411,-0.31616654789906135,0.15979613092749373,-0.54265227214742,-0.05745108213928198,-0.05745108213928198,0.46638542228012836,0.2959372419483041,0.10750986469325428,0.9612954567798406,0.9612954567798406,-0.16130829894058657,0.06178499887592854,-0.26232361183544056,-0.04729535891788091,-0.04729535891788091,,,,,
S1_service,combined_disruption,peripheral_area + central_area,3,16.905869608981558,0.9341036463827896,15.83656810012752,18.112286800237847,18.112286800237847,1.2182835663951224,0.16744648809241677,0.9928604632708439,1.3938107847537822,1.3938107847537822,21.24970848743592,6.728274775450545,13.078500963407327,29.557639555615623,29.557639555615623,26.099416139521903,2.520608377954492,23.590571774618038,29.546889816362224,29.546889816362224,31191.894941413757,1177.8331016497816,30343.998429707462,32857.51137036717,32857.51137036717,,,,,,20037.862356767193,786.1957822935642,19380.748557134324,21143.14752495895,21143.14752495895,842.3113920000001,30.852644889978546,816.8012351999998,885.7218528000002,885.7218528000002,0.0,0.0,0.0,0.0,0.0,-1.087563084083632,0.9341036463827896,-2.1568645929376675,0.11885410717265898,0.11885410717265898,-0.4678291579254934,0.16744648809241677,-0.6932522610497719,-0.2923019395668336,-0.2923019395668336,21.24970848743592,6.728274775450545,13.078500963407327,29.557639555615623,29.557639555615623,8.105983446456714,2.5206083779544914,5.59713908155285,11.553457123297036,11.553457123297036,-3334.297921661588,1177.8331016497816,-4182.194433367884,-1668.6814927081796,-1668.6814927081796,,,,,,-2293.9061360769833,786.1957822935642,-2951.0199357098536,-1188.6209678852283,-1188.6209678852283,-83.28738959999998,30.852644889978546,-108.79754640000021,-39.87692879999986,-39.87692879999986,-0.06044222370658531,0.05191358771374406,-0.11986954516849585,0.006605415942588114,0.006605415942588114,-0.2774601906370142,0.09930918952046096,-0.41115416012835293,-0.1733584803380276,-0.1733584803380276,0.4504967776149141,0.14008490880819838,0.3110656636245974,0.642092996949372,0.642092996949372,-0.09657299705428897,0.034114189951983856,-0.12113106272544188,-0.04833088604138514,-0.04833088604138514,,,,,
S1_service,combined_disruption,central + any_road,2,16.13178588518197,1.0245674353459098,15.107218449836061,17.15635332052788,17.15635332052788,1.2026687716025988,0.0355336415373223,1.1671351300652764,1.238202413139921,1.238202413139921,28.03260400921417,0.0652037140793098,27.967400295134862,28.09780772329348,28.09780772329348,28.4298566899242,0.7087507984849051,27.721105891439294,29.138607488409104,29.138607488409104,32100.60437236307,1002.7052954739811,31097.899076889087,33103.30966783705,33103.30966783705,,,,,,20440.886066453837,1080.5401203424753,19360.34594611136,21521.42618679631,21521.42618679631,874.8830844,7.681844400000045,867.20124,882.5649288000001,882.5649288000001,0.0,0.0,0.0,0.0,0.0,-1.8616468078832167,1.0245674353459098,-2.8862142432291265,-0.8370793725373069,-0.8370793725373069,-0.4834439527180171,0.0355336415373223,-0.5189775942553394,-0.4479103111806948,-0.4479103111806948,28.03260400921417,0.0652037140793098,27.967400295134862,28.09780772329348,28.09780772329348,10.436423996859011,0.7087507984849051,9.727673198374106,11.145174795343916,11.145174795343916,-2425.588490712278,1002.7052954739811,-3428.2937861862592,-1422.883195238297,-1422.883195238297,,,,,,-1890.8824263903425,1080.5401203424753,-2971.422546732818,-810.3423060478672,-810.3423060478672,-50.71569720000002,7.681844400000045,-58.39754160000007,-43.03385279999998,-43.03385279999998,-0.10346257101907576,0.05694118808918468,-0.16040375910826044,-0.04652138292989108,-0.04652138292989108,-0.2867210155909421,0.021074297717336682,-0.30779531330827875,-0.2656467178736054,-0.2656467178736054,0.5800129511075056,0.03938941560373094,0.5406235355037746,0.6194023667112365,0.6194023667112365,-0.07025357531691157,0.0290418726284282,-0.09929544794533976,-0.041211702688483356,-0.041211702688483356,,,,,
S1_service,demand_surge,peripheral_area,17,18.195807916747107,0.08668454254416953,18.132145214444503,18.3614770206727,18.3614770206727,1.7079777538236902,0.009365573738253714,1.7010995063842724,1.7258769797228746,1.7258769797228746,0.0,0.0,0.0,0.0,0.0,18.195807916747107,0.08668454254416953,18.132145214444503,18.3614770206727,18.3614770206727,34526.19286307535,0.0,34526.19286307535,34526.19286307535,34526.19286307535,,,,,,22331.768492844185,7.275957614183426e-12,22331.768492844178,22331.768492844178,22331.768492844178,925.5987815999998,2.2737367544323206e-13,925.5987816,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,0.20237522368192126,0.08668454254416953,0.13871252137931478,0.3680443276075138,0.3680443276075138,0.02186502950307488,0.009365573738253714,0.014986782063656667,0.03976425540225881,0.03976425540225881,0.0,0.0,0.0,0.0,0.0,0.20237522368192126,0.08668454254416953,0.13871252137931478,0.3680443276075138,0.3680443276075138,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011247171517190173,0.00481756560978931,0.007709063842652753,0.020454369874035264,0.020454369874035264,0.012967715140092392,0.005554535947190232,0.008888363065817726,0.023583390854416922,0.023583390854416922,0.011247171517190173,0.00481756560978931,0.007709063842652753,0.020454369874035264,0.020454369874035264,0.0,0.0,0.0,0.0,0.0,,,,,
S1_service,area_closure,central_area,8,15.860860552261471,0.9898394232857414,14.820027330828543,17.75803426406734,17.75803426406734,1.1649085559773669,0.12590628939234055,1.0054370752472597,1.4186511895833913,1.4186511895833913,32.703709888153796,7.7134196079453226,17.96740029513487,41.42262633771367,41.42262633771367,30.345640099796523,2.9751232033309947,25.347817340376075,34.00393608481181,34.00393608481181,31586.572061698855,1446.3473440280363,28768.615785923666,33167.50926182493,33167.50926182493,,,,,,20445.784955623567,1057.9341121911918,18453.30510040458,21414.50330928116,21414.50330928116,846.1080054,34.392820205304176,778.1095392000001,890.8837008,890.8837008,0.0,0.0,0.0,0.0,0.0,-2.1325721408037177,0.9898394232857415,-3.173405362236645,-0.23539842899784702,-0.23539842899784702,-0.521204168343249,0.12590628939234055,-0.6806756490733561,-0.26746153473722445,-0.26746153473722445,32.703709888153796,7.7134196079453226,17.96740029513487,41.42262633771367,41.42262633771367,12.352207406731335,2.9751232033309947,7.354384647310887,16.010503391746624,16.010503391746624,-2939.620801376489,1446.3473440280363,-5757.57707715168,-1358.6836012504136,-1358.6836012504136,,,,,,-1885.9835372206103,1057.9341121911918,-3878.4633924395966,-917.2651835630168,-917.2651835630168,-79.49077619999996,34.392820205304176,-147.48924239999997,-34.71508080000001,-34.71508080000001,-0.11851947191964252,0.05501114991066899,-0.17636464461056953,-0.01308246364178034,-0.01308246364178034,-0.3091158502188858,0.07467252193537173,-0.40369522111733086,-0.1586261291308341,-0.1586261291308341,0.6864842088464851,0.16534494857546722,0.40872604870694434,0.8897970534503513,0.8897970534503513,-0.0851417592734448,0.04189130697855941,-0.16675968589949064,-0.03935225660815566,-0.03935225660815566,,,,,
S1_service,combined_disruption,any_road + central_area,4,16.985008765711182,1.4886074166440195,14.406762301914595,17.86553337927705,17.86553337927705,1.3866280342297306,0.4080256451237327,0.6876753177604366,1.6688732140284344,1.6688732140284344,13.941924256399856,24.010484006047143,0.0,55.528959843140015,55.528959843140015,23.339519088464137,9.459861498039704,17.83386969082654,39.72421295447181,39.72421295447181,33046.83948228079,1924.577660451012,29826.502043064786,34526.19286307535,34526.19286307535,,,,,,21229.64597685098,1414.2454511065562,18874.194967830987,22331.768492844178,22331.768492844178,892.3957056,44.08714305936976,818.1747815999998,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,-1.008423927354007,1.4886074166440193,-3.5866703911505926,-0.1278993137881379,-0.1278993137881379,-0.2994846900908853,0.4080256451237327,-0.9984374065601792,-0.017239510292181404,-0.017239510292181404,13.941924256399856,24.010484006047143,0.0,55.528959843140015,55.528959843140015,5.346086395398951,9.459861498039706,-0.15956300223864872,21.730780261406622,21.730780261406622,-1479.3533807945587,1924.577660451012,-4699.690820010561,0.0,0.0,,,,,,-1102.1225159931946,1414.2454511065562,-3457.573525013191,0.0,0.0,-33.20307600000007,44.08714305936976,-107.4240000000002,0.0,0.0,-0.05604399919436504,0.0827305963257217,-0.19933219260230006,-0.007108110829649048,-0.007108110829649048,-0.17761842714967738,0.2419919138491397,-0.5921534142757146,-0.010224411478258495,-0.010224411478258495,0.29711320161046173,0.5257396773260286,-0.00886784667275553,1.2077062021512903,1.2077062021512903,-0.04284727791046662,0.055742539239224544,-0.13611957850808187,0.0,0.0,,,,,
S1_service,combined_disruption,central + central_area,1,15.033947362848604,0.0,15.033947362848604,15.033947362848604,15.033947362848604,1.2827080021359112,0.0,1.2827080021359112,1.2827080021359112,1.2827080021359112,24.606541331300967,0.0,24.606541331300967,24.606541331300967,24.606541331300967,26.09853769006381,0.0,26.09853769006381,26.09853769006381,26.09853769006381,33436.961261474324,0.0,33436.961261474324,33436.961261474324,33436.961261474324,,,,,,21582.339780842904,0.0,21582.339780842904,21582.339780842904,21582.339780842904,898.3938576,0.0,898.3938576,898.3938576,898.3938576,0.0,0.0,0.0,0.0,0.0,-2.9594853302165838,0.0,-2.9594853302165838,-2.9594853302165838,-2.9594853302165838,-0.4034047221847046,0.0,-0.4034047221847046,-0.4034047221847046,-0.4034047221847046,24.606541331300967,0.0,24.606541331300967,24.606541331300967,24.606541331300967,8.105104996998623,0.0,8.105104996998623,8.105104996998623,8.105104996998623,-1089.2316016010227,0.0,-1089.2316016010227,-1089.2316016010227,-1089.2316016010227,,,,,,-749.4287120012741,0.0,-749.4287120012741,-749.4287120012741,-749.4287120012741,-27.204924000000005,0.0,-27.204924000000005,-27.204924000000005,-27.204924000000005,-0.1644758607598645,0.0,-0.1644758607598645,-0.1644758607598645,-0.1644758607598645,-0.23925133614494734,0.0,-0.23925133614494734,-0.23925133614494734,-0.23925133614494734,0.45044795705504237,0.0,0.45044795705504237,0.45044795705504237,0.45044795705504237,-0.03154797883220773,0.0,-0.03154797883220773,-0.03154797883220773,-0.03154797883220773,,,,,
S1_service,combined_disruption,central_area + central_area,1,17.373616724141282,0.0,17.373616724141282,17.373616724141282,17.373616724141282,1.2655447293561044,0.0,1.2655447293561044,1.2655447293561044,1.2655447293561044,28.373870127348752,0.0,28.373870127348752,28.373870127348752,28.373870127348752,29.468371354819343,0.0,29.468371354819343,29.468371354819343,29.468371354819343,32128.61908947297,0.0,32128.61908947297,32128.61908947297,32128.61908947297,,,,,,20833.675225841213,0.0,20833.675225841213,20833.675225841213,20833.675225841213,858.9821616,0.0,858.9821616,858.9821616,858.9821616,0.0,0.0,0.0,0.0,0.0,-0.6198159689239056,0.0,-0.6198159689239056,-0.6198159689239056,-0.6198159689239056,-0.42056799496451136,0.0,-0.42056799496451136,-0.42056799496451136,-0.42056799496451136,28.373870127348752,0.0,28.373870127348752,28.373870127348752,28.373870127348752,11.474938661754155,0.0,11.474938661754155,11.474938661754155,11.474938661754155,-2397.5737736023766,0.0,-2397.5737736023766,-2397.5737736023766,-2397.5737736023766,,,,,,-1498.0932670029651,0.0,-1498.0932670029651,-1498.0932670029651,-1498.0932670029651,-66.61662000000001,0.0,-66.61662000000001,-66.61662000000001,-66.61662000000001,-0.034446788419798716,0.0,-0.034446788419798716,-0.034446788419798716,-0.034446788419798716,-0.24943053266736395,0.0,-0.24943053266736395,-0.24943053266736395,-0.24943053266736395,0.6377292680888338,0.0,0.6377292680888338,0.6377292680888338,0.6377292680888338,-0.06944217056049944,0.0,-0.06944217056049944,-0.06944217056049944,-0.06944217056049944,,,,,
S1_service,combined_disruption,peripheral + peripheral_area,2,18.06303719790609,0.20777344610848122,17.85526375179761,18.270810644014574,18.270810644014574,1.4645195862858489,0.23528522049939593,1.229234365786453,1.699804806785245,1.699804806785245,7.749591423125023,7.610561656975965,0.1390297661490582,15.360153080100988,15.360153080100988,21.328793196559204,2.9999665581671042,18.328826638392098,24.328759754726306,24.328759754726306,32784.51150027169,676.8693664310558,32107.642133840636,33461.38086670275,33461.38086670275,,,,,,21328.917633339617,359.9620220388224,20968.955611300793,21688.879655378438,21688.879655378438,873.4098552,21.605541600000038,851.8043136,895.0153968000001,895.0153968000001,0.0,0.0,0.0,0.0,0.0,0.06960450484090508,0.20777344610848125,-0.13816894126757617,0.27737795094938633,0.27737795094938633,-0.22159313803476677,0.23528522049939593,-0.4568783585341627,0.013692082464629163,0.013692082464629163,7.749591423125023,7.610561656975965,0.1390297661490582,15.360153080100988,15.360153080100988,3.335360503494014,2.9999665581671042,0.3353939453269099,6.335327061661118,6.335327061661118,-1741.6813628036543,676.8693664310558,-2418.55072923471,-1064.8119963725985,-1064.8119963725985,,,,,,-1002.8508595045623,359.9620220388224,-1362.8128815433847,-642.8888374657399,-642.8888374657399,-52.188926400000014,21.605541600000038,-73.79446800000005,-30.583384799999976,-30.583384799999976,0.00386832829667522,0.011547182222131455,-0.007678853925456235,0.015415510518806675,0.015415510518806675,-0.1314224931930652,0.13954299561685546,-0.27096548880992066,0.008120502423790263,0.008120502423790263,0.18536543640055345,0.1667256387005752,0.01863979769997825,0.35209107510112864,0.35209107510112864,-0.05044521907500339,0.01960451791239763,-0.07004973698740102,-0.03084070116260576,-0.03084070116260576,,,,,
S1_service,demand_surge,central_area,8,17.783393581392982,0.1335472327112675,17.4300608153581,17.83386969082654,17.83386969082654,1.6634196728197548,0.014428713802808111,1.6252448843589997,1.6688732140284344,1.6688732140284344,0.0,0.0,0.0,0.0,0.0,17.783393581392982,0.1335472327112675,17.4300608153581,17.83386969082654,17.83386969082654,34526.19286307535,0.0,34526.19286307535,34526.19286307535,34526.19286307535,,,,,,22331.76849284418,3.637978807091713e-12,22331.768492844178,22331.768492844178,22331.768492844178,925.5987815999999,1.1368683772161603e-13,925.5987816,925.5987816,925.5987816,0.0,0.0,0.0,0.0,0.0,-0.21003911167220357,0.1335472327112675,-0.5633718777070875,-0.15956300223864872,-0.15956300223864872,-0.022693051500860734,0.014428713802808107,-0.060867839961616044,-0.017239510292181404,-0.017239510292181404,0.0,0.0,0.0,0.0,0.0,-0.21003911167220357,0.1335472327112675,-0.5633718777070875,-0.15956300223864872,-0.15956300223864872,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011673098471819349,0.007421998625239398,-0.03130986106526608,-0.00886784667275553,-0.00886784667275553,-0.013458798556902194,0.008557383853811945,-0.03609950810740811,-0.010224411478258495,-0.010224411478258495,-0.011673098471819349,0.007421998625239398,-0.03130986106526608,-0.00886784667275553,-0.00886784667275553,0.0,0.0,0.0,0.0,0.0,,,,,
