scenario,phase,type,n,mean_improvement_att,std_improvement_att,min_improvement_att,max_improvement_att,p95_improvement_att,mean_improvement_CEF,std_improvement_CEF,min_improvement_CEF,max_improvement_CEF,p95_improvement_CEF,mean_improvement_CEF2,std_improvement_CEF2,min_improvement_CEF2,max_improvement_CEF2,p95_improvement_CEF2,mean_improvement_exposure,std_improvement_exposure,min_improvement_exposure,max_improvement_exposure,p95_improvement_exposure,mean_improvement_dun,std_improvement_dun,min_improvement_dun,max_improvement_dun,p95_improvement_dun,mean_improvement_cost,std_improvement_cost,min_improvement_cost,max_improvement_cost,p95_improvement_cost,mean_improvement_energy,std_improvement_energy,min_improvement_energy,max_improvement_energy,p95_improvement_energy,mean_reward,std_reward,min_reward,max_reward,p95_reward
S1_service,calibration,area_closure,14,-0.09017424941811732,0.11089776270582959,-0.4004154359797384,0.05436617844202397,0.05436617844202397,0.5478491329024898,0.308570115227436,0.071589945264291,1.093498437886675,1.093498437886675,0.5087460034911627,0.3003235794677061,0.06402535456997796,1.0376703205640183,1.0376703205640183,-0.03688989498293936,0.33822728340155334,-0.8238635085226818,0.2783871902285114,0.2783871902285114,0.6561361615662323,0.32588718103922837,0.07558916644666668,1.0,1.0,-0.28202317559108275,0.11542828970283164,-0.46048019515561045,0.0012202961716161708,0.0012202961716161708,,,,,,0.5871397880223318,0.2932680362226438,0.13627096499989286,1.1202172424252859,1.1202172424252859
S1_service,calibration,combined_disruption,24,-0.0867242376536362,0.1772207082977732,-0.6910698004803084,0.05917893257384954,0.053781727632784763,0.5693989484540475,0.7340804139223988,0.028806363918985504,3.414030390504819,1.8520443879731863,0.5344059460181968,0.6711223385143144,0.025109633374862016,3.078689740479681,1.7396308387622397,0.009017805212327762,0.24385879302918012,-0.6708705294597752,0.2985595657665682,0.2807454543750911,0.6824106488342453,0.39787989959758585,0.0,1.0,1.0,-0.22981472578979353,0.12586959577672127,-0.5355871890978356,-0.053489452694533146,-0.053489452694533146,,,,,,0.5213934720827978,0.38407915141624444,0.07058087660873394,1.300094575678565,1.2600257210501224
S1_service,calibration,demand_surge,19,0.037004056413617425,0.001672502575308789,0.03488754886255578,0.041628990260474605,0.041628990260474605,0.03313046400451389,0.006266699660509504,0.02519371250270411,0.05044608664513186,0.05044608664513186,0.02876689377167895,0.005308587121137952,0.022036687297767078,0.04342056646866224,0.04342056646866224,0.05402873840622473,0.008466799980033001,0.04273890435090682,0.07624220124566373,0.07624220124566373,,,,,,-0.053489452694533125,2.0816681711721685e-17,-0.053489452694533146,-0.053489452694533146,-0.053489452694533146,,,,,,0.07938043370938923,0.012238455962170667,0.06366735529175427,0.1127479736816635,0.1127479736816635
S1_service,calibration,link_failure,37,0.0052339701526064675,0.0699863824659545,-0.20206098545029336,0.07045620851347635,0.05919691069365056,0.15521187171569958,0.16473054505779203,0.03494472307981608,0.6884129868368837,0.49992751288955667,0.14723313583247,0.15837257094325946,0.030308247317590162,0.6513710128141632,0.4767476300996601,0.04486513424600686,0.09606945107820553,-0.2481368077660761,0.29294065814964165,0.20205369657622885,0.8596030116048089,0.32561361873391165,0.0,1.0,1.0,-0.1387288459958231,0.06876487806869333,-0.25706884148252945,-0.053489452694533146,-0.053489452694533146,,,,,,0.23336363706409807,0.17676149498850655,0.08306130945618034,0.6388803724739811,0.6274764648660572
S1_service,calibration,node_removal,11,-0.03230330320528175,0.10013113060481178,-0.1964828946037079,0.07913386998930062,0.07913386998930062,0.24735369523720996,0.185158939592162,0.03713248075267426,0.5431191917447314,0.5431191917447314,0.23530496091931086,0.17875475667181107,0.03210179749161647,0.5392114168893241,0.5392114168893241,0.07649574665164266,0.15415434207143158,-0.2207429128201338,0.28083900363785824,0.28083900363785824,0.6513512903691956,0.43748093371217855,0.0,1.0,1.0,-0.168412320825659,0.0543586798338059,-0.27273359084489385,-0.09939207079428906,-0.09939207079428906,,,,,,0.3600881769162425,0.2163006203540912,0.08391531229734629,0.7127529894184312,0.7127529894184312
S1_service,held_out,link_failure,21,0.012867130856962413,0.07200663523006581,-0.2198700290796997,0.07240058915799093,0.05919691069365056,0.15760806284875734,0.16874440099489377,0.03494472307981608,0.5496530668794076,0.5342776440203594,0.14936949835374472,0.16447100592983951,0.030308247317590162,0.5281241600527922,0.5123340005364171,0.051906109169245665,0.09054137623833304,-0.28324549699482837,0.18316294137730893,0.16918670718645437,0.7125862993411174,0.36969782517910044,0.0,1.0,1.0,-0.1490912291055417,0.06896260688383099,-0.2770176122073144,-0.053489452694533146,-0.053489452694533146,,,,,,0.2424204034390572,0.19203959775773913,0.08306130945618034,0.7391014251529712,0.6501489195573584
S1_service,held_out,node_removal,6,-0.08108781772085978,0.08896206583331265,-0.21391299121206922,0.007807771636948924,0.007807771636948924,0.31073180774892906,0.047804801098704996,0.24256821606952567,0.3740759024688621,0.3740759024688621,0.29061737952914785,0.052123681995921184,0.22389155460728352,0.35289092591556964,0.35289092591556964,0.07258134896984857,0.17295405792065158,-0.2207429128201338,0.30864866389815726,0.30864866389815726,0.9584423266588947,0.09292578257744213,0.7506539599533685,1.0,1.0,-0.18250859339747347,0.04727068070680409,-0.24340524280753348,-0.09259027389708903,-0.09259027389708903,,,,,,0.4363024575391489,0.057752024680233896,0.3441647325854281,0.5373757411288953,0.5373757411288953
S1_service,held_out,demand_surge,6,0.036979841730219655,0.0012076764736778799,0.03580188523160549,0.03863981837501669,0.03863981837501669,0.03304133998803071,0.004526615457667776,0.028625266271616972,0.039262990050171795,0.039262990050171795,0.028693124821104806,0.0038362270831343616,0.02494965836095618,0.03396556408028059,0.03396556408028059,0.05405004238549793,0.006231848632519739,0.04789120200223106,0.06258889660622616,0.06258889660622616,,,,,,-0.053489452694533146,0.0,-0.053489452694533146,-0.053489452694533146,-0.053489452694533146,,,,,,0.07925975006304835,0.008890121995592415,0.07055792321430521,0.09146942043528666,0.09146942043528666
S1_service,held_out,combined_disruption,8,-0.047289876940361644,0.10056081415839895,-0.21096218687471902,0.06853850604140006,0.06853850604140006,0.3868679357361223,0.43071306606140636,0.039262990050171795,1.2738768803234908,1.2738768803234908,0.3677608292299077,0.4207386219647024,0.03396556408028059,1.2579805230509398,1.2579805230509398,-0.021728991450941905,0.22617492343550458,-0.5716831343343218,0.1409889960260149,0.1409889960260149,0.9070439213124719,0.19680749789610272,0.46744972221076553,1.0,1.0,-0.20069518241672293,0.11280618248355238,-0.43683329002041943,-0.053489452694533146,-0.053489452694533146,,,,,,0.37873740672300327,0.2939417763920216,0.09146942043528666,0.9359508960045207,0.9359508960045207
S1_service,held_out,area_closure,4,-0.11458223330542958,0.09660806029627697,-0.23169965752167807,0.013503995571580284,0.013503995571580284,0.44146158909949074,0.26419805291874976,0.07186314729324324,0.7176381745295201,0.7176381745295201,0.4224661930675797,0.2587267929069569,0.06786397763461476,0.7174866587112129,0.7174866587112129,0.08483177247140035,0.12297276669698393,-0.11138294726943983,0.20852906119826778,0.20852906119826778,0.7947123404284651,0.35556865654480185,0.1788493617138603,1.0,1.0,-0.21248038852803347,0.037685809348219336,-0.2566197558950502,-0.1561002367440589,-0.1561002367440589,,,,,,0.5574880720212456,0.27555310773704284,0.14167239899864137,0.8204084276973521,0.8204084276973521
