scenario,phase,type,location,n,mean_improvement_att,std_improvement_att,min_improvement_att,max_improvement_att,p95_improvement_att,mean_improvement_CEF,std_improvement_CEF,min_improvement_CEF,max_improvement_CEF,p95_improvement_CEF,mean_improvement_CEF2,std_improvement_CEF2,min_improvement_CEF2,max_improvement_CEF2,p95_improvement_CEF2,mean_improvement_exposure,std_improvement_exposure,min_improvement_exposure,max_improvement_exposure,p95_improvement_exposure,mean_improvement_dun,std_improvement_dun,min_improvement_dun,max_improvement_dun,p95_improvement_dun,mean_improvement_cost,std_improvement_cost,min_improvement_cost,max_improvement_cost,p95_improvement_cost,mean_improvement_energy,std_improvement_energy,min_improvement_energy,max_improvement_energy,p95_improvement_energy,mean_reward,std_reward,min_reward,max_reward,p95_reward
S1_service,calibration,area_closure,peripheral_area,8,-0.0817593815414112,0.12597681562598467,-0.4004154359797384,0.010938082907496633,0.010938082907496633,0.48095356835375835,0.3052110909022433,0.071589945264291,1.093498437886675,1.093498437886675,0.43433772595539855,0.29016042360040234,0.06402535456997796,1.0376703205640183,1.0376703205640183,0.12967593525366058,0.07635912163042054,0.036753011990350574,0.2783871902285114,0.2783871902285114,0.5114672923866326,0.22704121728952664,0.07558916644666668,0.847974271505888,0.847974271505888,-0.2936978087708906,0.08000459041225368,-0.4138650819847023,-0.17846230309497355,-0.17846230309497355,,,,,,0.48948791048441076,0.28269837502212325,0.13627096499989286,1.1202172424252859,1.1202172424252859
S1_service,calibration,combined_disruption,peripheral_area + central_area,2,-0.014966360237701756,0.010686755503516221,-0.025653115741217977,-0.004279604734185535,-0.004279604734185535,0.39958788560612946,0.10823334847072262,0.2913545371354069,0.5078212340768521,0.5078212340768521,0.3846449128609923,0.10180353998279479,0.2828413728781975,0.48644845284378707,0.48644845284378707,0.10410561994786305,0.17575328825217928,-0.07164766830431622,0.27985890820004233,0.27985890820004233,0.7402299250230747,0.25977007497692534,0.4804598500461494,1.0,1.0,-0.26626708222410633,0.006396891259652621,-0.272663973483759,-0.25987019096445374,-0.25987019096445374,,,,,,0.594668216807245,0.1370142980413323,0.45765391876591266,0.7316825148485773,0.7316825148485773
S1_service,calibration,combined_disruption,central + any_road,2,-0.14265973888355826,0.1544728255398946,-0.29713256442345287,0.01181308665633635,0.01181308665633635,0.49485622524967526,0.00987019149267282,0.48498603375700244,0.5047264167423481,0.5047264167423481,0.4715561976879127,0.03764512089531216,0.4339110767926005,0.5092013185832248,0.5092013185832248,0.06580470292200673,0.027999407815975166,0.03780529510603156,0.0938041107379819,0.0938041107379819,1.0,0.0,1.0,1.0,1.0,-0.2223783667427296,0.008128727350323703,-0.2305070940930533,-0.2142496393924059,-0.2142496393924059,,,,,,0.625039353454726,0.10535109902063405,0.5196882544340921,0.7303904524753602,0.7303904524753602
S1_service,calibration,demand_surge,peripheral_area,13,0.036019153055628673,0.0006661590965411709,0.03488754886255578,0.03649782158403679,0.03649782158403679,0.029439829168444082,0.0024995167335702265,0.02519371250270411,0.031235763642303356,0.031235763642303356,0.025640199599371912,0.002121121710153943,0.022036687297767078,0.02716415202207765,0.02716415202207765,0.04902764195703657,0.003690792167922583,0.04273890435090682,0.05167002854803661,0.05167002854803661,,,,,,-0.05348945269453314,6.938893903907228e-18,-0.053489452694533146,-0.053489452694533146,-0.053489452694533146,,,,,,0.07216408958617683,0.00499786466530988,0.06366735529175427,0.07575190653955317,0.07575190653955317
S1_service,calibration,area_closure,central_area,6,-0.1013940732537254,0.08553102899887689,-0.1908217457727207,0.05436617844202397,0.05436617844202397,0.637043218967465,0.28990029944177337,0.1736610336193453,1.0462620702487904,1.0462620702487904,0.6079570402055151,0.284553817120208,0.14137451435278145,0.9946075043302711,0.9946075043302711,-0.25897766863173927,0.41573844502411705,-0.8238635085226818,0.26029813932294,0.26029813932294,0.8490279871390319,0.33758368345709705,0.09416792283419165,1.0,1.0,-0.26645699801800576,0.14876243545294396,-0.46048019515561045,0.0012202961716161708,0.0012202961716161708,,,,,,0.7173422914062265,0.2538817770272754,0.2325642158774896,1.0330417796933915,1.0330417796933915
S1_service,calibration,combined_disruption,any_road + central_area,2,-0.10149619910035493,0.1543604230134524,-0.25585662211380733,0.05286422391309749,0.05286422391309749,0.9479982708055864,0.9040461171675999,0.04395215363798661,1.8520443879731863,1.8520443879731863,0.8891590933993839,0.8504717453628556,0.03868734803652825,1.7396308387622397,1.7396308387622397,-0.16171011588865183,0.22119899727499306,-0.3829091131636449,0.05948888138634125,0.05948888138634125,1.0,0.0,1.0,1.0,1.0,-0.24180246494618116,0.06036955819842574,-0.3021720231446069,-0.18143290674775542,-0.18143290674775542,,,,,,0.7010089647387082,0.5990856109398567,0.10192335379885159,1.300094575678565,1.300094575678565
S1_service,calibration,combined_disruption,central + central_area,1,-0.19874175739690034,0.0,-0.19874175739690034,-0.19874175739690034,-0.19874175739690034,0.39662664463245456,0.0,0.39662664463245456,0.39662664463245456,0.39662664463245456,0.37250026358327853,0.0,0.37250026358327853,0.37250026358327853,0.37250026358327853,-0.21477033617320537,0.0,-0.21477033617320537,-0.21477033617320537,-0.21477033617320537,1.0,0.0,1.0,1.0,1.0,-0.1718366624104015,0.0,-0.1718366624104015,-0.1718366624104015,-0.1718366624104015,,,,,,0.43904900683637027,0.0,0.43904900683637027,0.43904900683637027,0.43904900683637027
S1_service,calibration,combined_disruption,central_area + central_area,1,-0.09681675726624452,0.0,-0.09681675726624452,-0.09681675726624452,-0.09681675726624452,0.4749621599047678,0.0,0.4749621599047678,0.4749621599047678,0.4749621599047678,0.4761177766809,0.0,0.4761177766809,0.4761177766809,0.4761177766809,0.18215130536891902,0.0,0.18215130536891902,0.18215130536891902,0.18215130536891902,1.0,0.0,1.0,1.0,1.0,-0.21877250964904119,0.0,-0.21877250964904119,-0.21877250964904119,-0.21877250964904119,,,,,,0.6135815129006164,0.0,0.6135815129006164,0.6135815129006164,0.6135815129006164
S1_service,calibration,combined_disruption,peripheral + peripheral_area,2,0.0009306009657946666,0.03487947414243649,-0.033948873176641824,0.03581007510823116,0.03581007510823116,0.4181971974219347,0.3893908335029492,0.028806363918985504,0.8075880309248838,0.8075880309248838,0.39446130381440386,0.36935167043954187,0.025109633374862016,0.7638129742539457,0.7638129742539457,0.15923846901813943,0.11160566911111208,0.04763279990702733,0.2708441381292515,0.2708441381292515,0.41650443485130817,0.41650443485130817,0.0,0.8330088697026163,0.8330088697026163,-0.16726052401021588,0.1120320748613944,-0.2792925988716103,-0.05522844914882149,-0.05522844914882149,,,,,,0.511620063269116,0.4410391866603821,0.07058087660873394,0.9526592499294981,0.9526592499294981
S1_service,calibration,demand_surge,central_area,6,0.039138013689259676,0.0011139985887191853,0.03863981837501669,0.041628990260474605,0.041628990260474605,0.04112683948266514,0.0041676940308795225,0.039262990050171795,0.05044608664513186,0.05044608664513186,0.03554139781167753,0.0035236713446407065,0.03396556408028059,0.04342056646866224,0.04342056646866224,0.06486444737946574,0.005088286215215947,0.06258889660622616,0.07624220124566373,0.07624220124566373,,,,,,-0.053489452694533146,0.0,-0.053489452694533146,-0.053489452694533146,-0.053489452694533146,,,,,,0.09501584597634948,0.007930048586957908,0.09146942043528666,0.1127479736816635,0.1127479736816635
S1_service,calibration,link_failure,any_road,37,0.0052339701526064675,0.0699863824659545,-0.20206098545029336,0.07045620851347635,0.05919691069365056,0.15521187171569958,0.16473054505779203,0.03494472307981608,0.6884129868368837,0.49992751288955667,0.14723313583247,0.15837257094325946,0.030308247317590162,0.6513710128141632,0.4767476300996601,0.04486513424600686,0.09606945107820553,-0.2481368077660761,0.29294065814964165,0.20205369657622885,0.8596030116048089,0.32561361873391165,0.0,1.0,1.0,-0.1387288459958231,0.06876487806869333,-0.25706884148252945,-0.053489452694533146,-0.053489452694533146,,,,,,0.23336363706409807,0.17676149498850655,0.08306130945618034,0.6388803724739811,0.6274764648660572
S1_service,calibration,node_removal,central,6,-0.08043705960204336,0.10606425821482628,-0.1964828946037079,0.026889810181079114,0.026889810181079114,0.3560693515504232,0.17124789662285964,0.12531586084838026,0.5431191917447314,0.5431191917447314,0.33943632500411597,0.16500283207211291,0.12206156097939676,0.5392114168893241,0.5392114168893241,0.03651782239849923,0.18742394055960646,-0.2207429128201338,0.28083900363785824,0.28083900363785824,1.0,0.0,1.0,1.0,1.0,-0.17533515037463873,0.06506185081958547,-0.27273359084489385,-0.09939207079428906,-0.09939207079428906,,,,,,0.48980015625257817,0.18206891016423896,0.26770557522064053,0.7127529894184312,0.7127529894184312
S1_service,calibration,combined_disruption,central + peripheral_area,2,-0.44771620360822045,0.24335359687208793,-0.6910698004803084,-0.20436260673613252,-0.20436260673613252,2.0141624414510573,1.399867949053762,0.6142944923972953,3.414030390504819,3.414030390504819,1.8303771843392709,1.24831255614041,0.5820646281988608,3.078689740479681,3.078689740479681,-0.1367398405439825,0.07355891067049239,-0.2102987512144749,-0.06318092987349011,-0.06318092987349011,0.859928959823991,0.07544259308497875,0.7844863667390122,0.9353715529089697,0.9353715529089697,-0.4376588656338738,0.09792832346396182,-0.5355871890978356,-0.339730542169912,-0.339730542169912,,,,,,0.9546331010091942,0.3053926200409282,0.649240480968266,1.2600257210501224,1.2600257210501224
S1_service,calibration,node_removal,peripheral,5,0.02545720447083218,0.04941332409385091,-0.05096697259326466,0.07913386998930062,0.07913386998930062,0.11689490766135406,0.09503164692756139,0.03713248075267426,0.28856147832899925,0.28856147832899925,0.11034732401754473,0.09486641638908183,0.03210179749161647,0.2770351760563598,0.2770351760563598,0.12446925575541475,0.07685841211045284,0.05797094751594385,0.22612960668261495,0.22612960668261495,0.23297283881223038,0.3164639192638257,0.0,0.7988512318100416,0.7988512318100416,-0.1601049253668833,0.035979557260390545,-0.2052711831242197,-0.10403085212411717,-0.10403085212411717,,,,,,0.20443380171263986,0.13686373196039192,0.08391531229734629,0.44670922224217235,0.44670922224217235
S1_service,calibration,combined_disruption,central_area + peripheral_area,1,-0.0037688863124214363,0.0,-0.0037688863124214363,-0.0037688863124214363,-0.0037688863124214363,0.8548203208940335,0.0,0.8548203208940335,0.8548203208940335,0.8548203208940335,0.8067681800249308,0.0,0.8067681800249308,0.8067681800249308,0.8067681800249308,0.2985595657665682,0.0,0.2985595657665682,0.2985595657665682,0.2985595657665682,0.5718533975071657,0.0,0.5718533975071657,0.5718533975071657,0.5718533975071657,-0.29658110768386114,0.0,-0.29658110768386114,-0.29658110768386114,-0.29658110768386114,,,,,,0.8656926703346834,0.0,0.8656926703346834,0.8656926703346834,0.8656926703346834
